#1:ID	#2:NameGroupA	#3:NameGroupB	#4:p.value	#5:FDR	#6:relationType	#7:PFC
1	GLYCOLYSIS_/_GLUCONEOGENESIS_-_HOMO_SAPIENS_(HUMAN)	GROUP1	0.465613	1.000000	-	0.903939
2	GLYCOLYSIS_/_GLUCONEOGENESIS_-_HOMO_SAPIENS_(HUMAN)	GROUP10	0.239726	1.000000	-	0.848000
3	GLYCOLYSIS_/_GLUCONEOGENESIS_-_HOMO_SAPIENS_(HUMAN)	GROUP100	0.177167	1.000000	+	0.950267
4	GLYCOLYSIS_/_GLUCONEOGENESIS_-_HOMO_SAPIENS_(HUMAN)	GROUP1000	0.000000	0.002521	+	0.898846
5	GLYCOLYSIS_/_GLUCONEOGENESIS_-_HOMO_SAPIENS_(HUMAN)	GROUP10000	0.035674	1.000000	-	0.894389
6	GLYCOLYSIS_/_GLUCONEOGENESIS_-_HOMO_SAPIENS_(HUMAN)	GROUP1001	0.027584	1.000000	+	0.904431
7	GLYCOLYSIS_/_GLUCONEOGENESIS_-_HOMO_SAPIENS_(HUMAN)	GROUP1002	0.527301	1.000000	-	0.881190
8	GLYCOLYSIS_/_GLUCONEOGENESIS_-_HOMO_SAPIENS_(HUMAN)	GROUP1003	0.228137	1.000000	-	0.913333
9	GLYCOLYSIS_/_GLUCONEOGENESIS_-_HOMO_SAPIENS_(HUMAN)	GROUP1004	0.084215	1.000000	-	0.897909
10	GLYCOLYSIS_/_GLUCONEOGENESIS_-_HOMO_SAPIENS_(HUMAN)	GROUP1005	0.096561	1.000000	+	0.921607
11	GLYCOLYSIS_/_GLUCONEOGENESIS_-_HOMO_SAPIENS_(HUMAN)	GROUP1006	0.080616	1.000000	-	0.904607
12	GLYCOLYSIS_/_GLUCONEOGENESIS_-_HOMO_SAPIENS_(HUMAN)	GROUP1007	0.487611	1.000000	+	0.928783
13	GLYCOLYSIS_/_GLUCONEOGENESIS_-_HOMO_SAPIENS_(HUMAN)	GROUP1008	0.047080	1.000000	+	0.946923
14	GLYCOLYSIS_/_GLUCONEOGENESIS_-_HOMO_SAPIENS_(HUMAN)	GROUP1009	0.324307	1.000000	-	0.879318
15	GLYCOLYSIS_/_GLUCONEOGENESIS_-_HOMO_SAPIENS_(HUMAN)	GROUP101	0.000000	0.003965	+	0.934283
16	GLYCOLYSIS_/_GLUCONEOGENESIS_-_HOMO_SAPIENS_(HUMAN)	GROUP1010	0.187132	1.000000	-	0.884000
17	GLYCOLYSIS_/_GLUCONEOGENESIS_-_HOMO_SAPIENS_(HUMAN)	GROUP1011	0.086851	1.000000	-	0.894000
18	GLYCOLYSIS_/_GLUCONEOGENESIS_-_HOMO_SAPIENS_(HUMAN)	GROUP1012	0.016328	1.000000	+	0.880436
19	GLYCOLYSIS_/_GLUCONEOGENESIS_-_HOMO_SAPIENS_(HUMAN)	GROUP1013	0.297979	1.000000	-	0.908250
20	GLYCOLYSIS_/_GLUCONEOGENESIS_-_HOMO_SAPIENS_(HUMAN)	GROUP1014	0.064119	1.000000	+	0.931377
21	GLYCOLYSIS_/_GLUCONEOGENESIS_-_HOMO_SAPIENS_(HUMAN)	GROUP1015	0.085222	1.000000	-	0.901375
22	GLYCOLYSIS_/_GLUCONEOGENESIS_-_HOMO_SAPIENS_(HUMAN)	GROUP1016	0.145859	1.000000	-	0.901308
24	GLYCOLYSIS_/_GLUCONEOGENESIS_-_HOMO_SAPIENS_(HUMAN)	GROUP1018	0.124630	1.000000	-	0.887333
