#1:ID	#2:NameGroupA	#3:NameGroupB	#4:p.value	#5:FDR	#6:relationType	#7:PFC
1	GLYCOLYSIS_/_GLUCONEOGENESIS_-_HOMO_SAPIENS_(HUMAN)	GROUP1	0.000771	1.000000	+	0.821467
2	GLYCOLYSIS_/_GLUCONEOGENESIS_-_HOMO_SAPIENS_(HUMAN)	GROUP10	0.423508	1.000000	-	0.785000
4	GLYCOLYSIS_/_GLUCONEOGENESIS_-_HOMO_SAPIENS_(HUMAN)	GROUP1000	0.044276	1.000000	+	0.901000
5	GLYCOLYSIS_/_GLUCONEOGENESIS_-_HOMO_SAPIENS_(HUMAN)	GROUP10000	0.227074	1.000000	-	0.850125
6	GLYCOLYSIS_/_GLUCONEOGENESIS_-_HOMO_SAPIENS_(HUMAN)	GROUP1001	0.023674	1.000000	-	0.855000
7	GLYCOLYSIS_/_GLUCONEOGENESIS_-_HOMO_SAPIENS_(HUMAN)	GROUP1002	0.094596	1.000000	-	0.891833
8	GLYCOLYSIS_/_GLUCONEOGENESIS_-_HOMO_SAPIENS_(HUMAN)	GROUP1003	0.001422	1.000000	+	0.936750
10	GLYCOLYSIS_/_GLUCONEOGENESIS_-_HOMO_SAPIENS_(HUMAN)	GROUP1005	0.386219	1.000000	+	0.917000
12	GLYCOLYSIS_/_GLUCONEOGENESIS_-_HOMO_SAPIENS_(HUMAN)	GROUP1007	0.278031	1.000000	+	0.931857
14	GLYCOLYSIS_/_GLUCONEOGENESIS_-_HOMO_SAPIENS_(HUMAN)	GROUP1009	0.000000	0.000000	+	0.933382
15	GLYCOLYSIS_/_GLUCONEOGENESIS_-_HOMO_SAPIENS_(HUMAN)	GROUP101	0.418304	1.000000	+	0.947000
16	GLYCOLYSIS_/_GLUCONEOGENESIS_-_HOMO_SAPIENS_(HUMAN)	GROUP1010	0.045937	1.000000	-	0.819625
17	GLYCOLYSIS_/_GLUCONEOGENESIS_-_HOMO_SAPIENS_(HUMAN)	GROUP1011	0.011709	1.000000	+	0.898125
19	GLYCOLYSIS_/_GLUCONEOGENESIS_-_HOMO_SAPIENS_(HUMAN)	GROUP1013	0.090117	1.000000	-	0.900278
20	GLYCOLYSIS_/_GLUCONEOGENESIS_-_HOMO_SAPIENS_(HUMAN)	GROUP1014	0.508566	1.000000	-	0.907000
21	GLYCOLYSIS_/_GLUCONEOGENESIS_-_HOMO_SAPIENS_(HUMAN)	GROUP1015	0.006811	1.000000	+	0.922444
22	GLYCOLYSIS_/_GLUCONEOGENESIS_-_HOMO_SAPIENS_(HUMAN)	GROUP1016	0.391444	1.000000	-	0.886500
23	GLYCOLYSIS_/_GLUCONEOGENESIS_-_HOMO_SAPIENS_(HUMAN)	GROUP1017	0.003756	1.000000	-	0.907000
24	GLYCOLYSIS_/_GLUCONEOGENESIS_-_HOMO_SAPIENS_(HUMAN)	GROUP1018	0.029201	1.000000	-	0.858000
26	GLYCOLYSIS_/_GLUCONEOGENESIS_-_HOMO_SAPIENS_(HUMAN)	GROUP102	0.238694	1.000000	+	0.879714
27	GLYCOLYSIS_/_GLUCONEOGENESIS_-_HOMO_SAPIENS_(HUMAN)	GROUP1020	0.191087	1.000000	-	0.959286
29	GLYCOLYSIS_/_GLUCONEOGENESIS_-_HOMO_SAPIENS_(HUMAN)	GROUP1022	0.394623	1.000000	+	0.870000
30	GLYCOLYSIS_/_GLUCONEOGENESIS_-_HOMO_SAPIENS_(HUMAN)	GROUP1023	0.148234	1.000000	+	0.743000
31	GLYCOLYSIS_/_GLUCONEOGENESIS_-_HOMO_SAPIENS_(HUMAN)	GROUP1024	0.076781	1.000000	+	0.866545
33	GLYCOLYSIS_/_GLUCONEOGENESIS_-_HOMO_SAPIENS_(HUMAN)	GROUP1026	0.485861	1.000000	+	0.851571
34	GLYCOLYSIS_/_GLUCONEOGENESIS_-_HOMO_SAPIENS_(HUMAN)	GROUP1027	0.446235	1.000000	-	0.907750
35	GLYCOLYSIS_/_GLUCONEOGENESIS_-_HOMO_SAPIENS_(HUMAN)	GROUP1028	0.004252	1.000000	-	0.913600
36	GLYCOLYSIS_/_GLUCONEOGENESIS_-_HOMO_SAPIENS_(HUMAN)	GROUP1029	0.434516	1.000000	+	0.909333
38	GLYCOLYSIS_/_GLUCONEOGENESIS_-_HOMO_SAPIENS_(HUMAN)	GROUP1030	0.490981	1.000000	+	0.865846
40	GLYCOLYSIS_/_GLUCONEOGENESIS_-_HOMO_SAPIENS_(HUMAN)	GROUP1032	0.000002	0.024018	-	0.907667
41	GLYCOLYSIS_/_GLUCONEOGENESIS_-_HOMO_SAPIENS_(HUMAN)	GROUP1033	0.000000	0.000000	+	0.923375
