#Node	GroupName
ENSG00000143195	group1
ENSG00000160219	group1
S100A7A	group1
ENSG00000196793	group1
ENSG00000106236	group1
ARHGAP27	group1
ENSG00000166484	group1
ENSG00000142166	group1
ENSG00000131019	group1
ENSG00000100330	group1
ENSG00000174599	group2
ENSG00000143294	group2
DPPA5	group2
ENSG00000141753	group2
ENSG00000144227	group2
LOC286367	group2
ENSG00000114745	group2
ENSG00000013441	group2
ENSG00000133943	group2
CCDC121	group2
ENSG00000102144	group3
C7ORF57	group3
ENSG00000119801	group3
LOC100129617	group3
ENSG00000165197	group3
ENSG00000168748	group3
ENSG00000136715	group3
ENSG00000137513	group3
ENSG00000187486	group3
AMY1	group3
LOC100128564	group4
ENSG00000163113	group4
FRA17B	group4
RPS2P32	group4
ENSG00000132768	group4
C10ORF99	group4
FLT3L	group4
ENSG00000133657	group4
ENSG00000130881	group4
LOC100129476	group4
ENSG00000126522	group5
LOC400238	group5
ENSG00000105137	group5
ENSG00000133937	group5
TMEM175	group5
FAM163A	group5
ENSG00000105819	group5
ENSG00000130749	group5
ENSG00000104883	group5
ENSG00000108443	group5
ENSG00000100852	group6
ENSG00000119688	group6
ENSG00000081853	group6
ENSG00000145526	group6
ENSG00000137221	group6
ENSG00000111859	group6
LOC100045982	group6
ENSG00000120868	group6
ENSG00000119953	group6
NPT	group6
ENSG00000140526	group7
ENSG00000134014	group7
C330019L16RIK	group7
ENSG00000156256	group7
ENSG00000170921	group7
2810432D09RIK	group7
LOC1000487	group7
ENSG00000112818	group7
ENSG00000148175	group7
ENSG00000144645	group7
ENSG00000157423	group8
ENSG00000146090	group8
PNPLA4	group8
ENSG00000181143	group8
ENSG00000186026	group8
ENSG00000107954	group8
ENSG00000136247	group8
ZNF814	group8
ENSG00000170631	group8
ENSG00000164867	group8
IGLV6-57	group9
ENSG00000127922	group9
ENSG00000168159	group9
ENSG00000100802	group9
ENSG00000140057	group9
ENSG00000169189	group9
ENSG00000197429	group9
ENSG00000119698	group9
ENSG00000158773	group9
LOC100048056	group9
ENSG00000163795	group10
ENSG00000138468	group10
ENSG00000064195	group10
ENSG00000169906	group10
ENSG00000163322	group10
MRPL33	group10
PCG	group10
ENSG00000152766	group10
ENSG00000186188	group10
ENSG00000104951	group10
ENSG00000173801	group11
MGC50722	group11
ENSG00000206522	group11
ENSG00000179456	group11
ENSG00000185803	group11
SPATA9	group11
ENSG00000128346	group11
PGBD3	group11
AGBL3	group11
LOC100046302	group11
ENSG00000119705	group12
ENSG00000198270	group12
ENSG00000196872	group12
ENSG00000160294	group12
ENSG00000164933	group12
ENSG00000173597	group12
LOC644192	group12
TMEM159	group12
ENSG00000101199	group12
ENSG00000152207	group12
ENSG00000132423	group13
ENSG00000101639	group13
ENSG00000122644	group13
ENSG00000134640	group13
ENSG00000137221	group13
GM13835	group13
LOC283861	group13
HCG26	group13
LOC286272	group13
ENSG00000127418	group13
ENSG00000185627	group14
LSM14A	group14
C17ORF63	group14
2010309G21RIK	group14
ENSG00000091527	group14
ENSG00000163155	group14
ENSG00000214128	group14
ENSG00000129009	group14
ENSG00000185946	group14
ENSG00000087053	group14
ENSG00000149043	group15
ENSG00000141644	group15
ENSG00000218336	group15
ENSG00000114529	group15
FAM150A	group15
ENSG00000163531	group15
ENSG00000133812	group15
ENSG00000112473	group15
ENSG00000162377	group15
ENSG00000171812	group15
ENSG00000168781	group16
SCAMP4	group16
D9ERTD720E	group16
ENSG00000173275	group16
DENND5B	group16
ENSG00000172732	group16
ENSG00000182566	group16
ENSG00000099937	group16
ENSG00000162241	group16
ENSG00000064012	group16
SPNB2	group17
ENSG00000107554	group17
ENSG00000156463	group17
MYPOP	group17
ENSG00000092531	group17
ENSG00000086544	group17
ENSG00000135744	group17
ENSG00000115241	group17
GLIS3	group17
A030007N12RIK	group17
ZNF710	group18
ENSG00000055208	group18
RPL13A	group18
SPI	group18
ENSG00000122140	group18
ENSG00000184148	group18
LOC144571	group18
RBM8	group18
ENSG00000105723	group18
ENSG00000012660	group18
ENSG00000100319	group19
ITGB2L	group19
ENSG00000070388	group19
ENSG00000175110	group19
ENSG00000101654	group19
ENSG00000141012	group19
FAM30A	group19
ENSG00000185825	group19
ENSG00000107611	group19
ENSG00000086102	group19
ENSG00000152778	group20
HHLA3	group20
HLA-H	group20
ENSG00000117906	group20
ENSG00000095585	group20
GM98	group20
ATPGD1	group20
LO	group20
FLJ41484	group20
ENSG00000196218	group20
TMEM110	group21
ENSG00000162298	group21
ENSG00000181830	group21
ENSG00000133983	group21
ENSG00000130741	group21
621968	group21
ENSG00000115556	group21
C1ORF129	group21
ENSG00000162383	group21
ENSG00000164181	group21
ENSG00000138771	group22
ENSG00000164663	group22
CLEC2G	group22
ENSG00000204790	group22
ENSG00000165186	group22
ENSG00000181929	group22
BAT2D1	group22
TMEM26	group22
ENSG00000187676	group22
ENSG00000115507	group22
D10ERTD610E	group23
ENSG00000166275	group23
ENSG00000149596	group23
ENSG00000143556	group23
ENSG00000170043	group23
ENSG00000124164	group23
ENSG00000065526	group23
ENSG00000124785	group23
ENSG00000112319	group23
ENSG00000135932	group23
ENSG00000130287	group24
ENSG00000114805	group24
ENSG00000121067	group24
ENSG00000180116	group24
ENSG00000134900	group24
CT45A1	group24
