#Node	GroupName
ENSG00000189023	group1
ENSG00000138115	group1
ENSG00000102445	group1
ENSG00000112695	group1
ENSG00000171843	group1
ENSG00000153936	group1
ENSG00000197901	group1
ENSG00000171219	group1
ENSG00000204227	group1
ENSG00000220023	group1
ENSG00000169564	group2
ENSG00000196724	group2
ENSG00000127824	group2
ENSG00000067064	group2
ENSG00000113282	group2
ENSG00000196526	group2
ENSG00000115286	group2
ENSG00000133135	group2
ENSG00000143603	group2
ENSG00000106588	group2
ENSG00000231672	group3
ENSG00000064703	group3
ENSG00000179059	group3
ENSG00000187531	group3
ENSG00000086758	group3
ENSG00000074855	group3
ENSG00000137841	group3
ENSG00000101849	group3
ENSG00000188800	group3
ENSG00000158560	group3
ENSG00000214575	group4
ENSG00000010017	group4
ENSG00000179979	group4
ENSG00000196226	group4
ENSG00000157315	group4
ENSG00000145476	group4
ENSG00000198765	group4
ENSG00000135269	group4
ENSG00000187653	group4
ENSG00000214960	group4
ENSG00000147799	group5
ENSG00000139644	group5
ENSG00000164556	group5
ENSG00000124126	group5
ENSG00000131808	group5
ENSG00000100842	group5
ENSG00000144410	group5
ENSG00000150961	group5
ENSG00000124789	group5
ENSG00000168036	group5
ENSG00000230230	group6
ENSG00000048405	group6
ENSG00000158813	group6
ENSG00000129990	group6
ENSG00000184678	group6
ENSG00000251664	group6
ENSG00000166140	group6
ENSG00000089250	group6
ENSG00000051596	group6
ENSG00000114200	group6
ENSG00000138375	group7
ENSG00000204632	group7
ENSG00000162616	group7
ENSG00000162630	group7
ENSG00000169962	group7
ENSG00000162624	group7
ENSG00000228344	group7
ENSG00000135312	group7
ENSG00000160282	group7
ENSG00000117281	group7
ENSG00000107897	group8
ENSG00000165028	group8
ENSG00000163866	group8
ENSG00000066813	group8
ENSG00000147570	group8
ENSG00000162227	group8
ENSG00000067560	group8
ENSG00000159905	group8
ENSG00000140284	group8
ENSG00000111647	group8
ENSG00000144057	group9
ENSG00000163344	group9
ENSG00000051108	group9
ENSG00000156171	group9
ENSG00000133112	group9
ENSG00000185808	group9
ENSG00000171872	group9
ENSG00000110696	group9
ENSG00000109927	group9
ENSG00000188659	group9
ENSG00000228581	group10
ENSG00000118507	group10
ENSG00000151461	group10
ENSG00000182179	group10
ENSG00000115129	group10
ENSG00000115474	group10
ENSG00000156515	group10
ENSG00000111641	group10
ENSG00000180425	group10
ENSG00000138271	group10
ENSG00000100564	group11
ENSG00000028203	group11
ENSG00000157542	group11
ENSG00000227794	group11
ENSG00000198721	group11
ENSG00000103343	group11
ENSG00000137033	group11
ENSG00000226651	group11
ENSG00000008324	group11
ENSG00000165071	group11
ENSG00000100453	group12
ENSG00000140199	group12
ENSG00000148158	group12
ENSG00000011198	group12
ENSG00000103187	group12
ENSG00000104368	group12
ENSG00000183287	group12
ENSG00000141556	group12
ENSG00000079150	group12
ENSG00000149115	group12
ENSG00000173432	group13
ENSG00000163959	group13
ENSG00000168283	group13
ENSG00000116661	group13
ENSG00000230254	group13
ENSG00000138115	group13
ENSG00000111335	group13
ENSG00000198901	group13
ENSG00000127585	group13
ENSG00000120370	group13
ENSG00000182208	group14
ENSG00000203832	group14
ENSG00000100453	group14
ENSG00000121579	group14
ENSG00000070814	group14
ENSG00000131171	group14
ENSG00000133256	group14
ENSG00000105983	group14
ENSG00000174606	group14
ENSG00000176904	group14
ENSG00000171815	group15
ENSG00000148516	group15
ENSG00000249915	group15
ENSG00000146904	group15
ENSG00000117114	group15
ENSG00000131969	group15
ENSG00000229295	group15
ENSG00000101197	group15
ENSG00000158402	group15
