	n	p	p_mc
group1	23.0	0.23499925231530389	0.235115
group2	8.0	0.7243643916011879	0.723885
group3	13.0	0.5279943039329374	0.52847
group4	24.0	0.2142199819069697	0.21427
group5	16.0	0.424103490620067	0.425265
group6	29.0	0.13110371501580342	0.13008
group7	20.0	0.30647514252136204	0.30647
group8	56.0	0.005136316269398207	0.00505
group9	21.0	0.28102709317650326	0.280445
group10	1.0	0.9719099818089563	0.972255
group11	25.0	0.19487693965975528	0.194675
group12	3.0	0.9140670752552578	0.91513
group13	39.0	0.043846971492951935	0.042885
group14	15.0	0.4573510105445388	0.45821
group15	23.0	0.23499925231530389	0.235115
group16	3.0	0.9140670752552578	0.91513
group17	4.0	0.8795844428772457	0.88062
group18	21.0	0.28102709317650326	0.280445
group19	10.0	0.6433275825860071	0.64264
group20	7.0	0.7648433959116149	0.76503
group21	39.0	0.043846971492951935	0.042885
group22	11.0	0.6038466148581	0.604145
group23	5.0	0.8428593334324601	0.84352
group24	8.0	0.7243643916011879	0.723885
group25	32.0	0.09578938789821767	0.095655
group26	41.0	0.034652326647836	0.033795
group27	26.0	0.1769444473295978	0.17647
group28	19.0	0.33356472739058096	0.333895
group29	2.0	0.9453709799996856	0.946045
group30	34.0	0.07714456031153524	0.076745
group31	2.0	0.9453709799996856	0.946045
group32	16.0	0.424103490620067	0.425265
group33	1.0	0.9719099818089563	0.972255
group34	4.0	0.8795844428772457	0.88062
group35	14.0	0.49196771558901947	0.492535
group36	8.0	0.7243643916011879	0.723885
group37	11.0	0.6038466148581	0.604145
group38	18.0	0.36220058434095553	0.36309
group39	7.0	0.7648433959116149	0.76503
group40	22.0	0.25723745171961626	0.25675
group41	27.0	0.16037591799844517	0.159535
group42	12.0	0.5653582533820657	0.566045
group43	15.0	0.4573510105445388	0.45821
group44	12.0	0.5653582533820657	0.566045
group45	1.0	0.9719099818089563	0.972255
group46	39.0	0.043846971492951935	0.042885
group47	5.0	0.8428593334324601	0.84352
group48	10.0	0.6433275825860071	0.64264
group49	52.0	0.008742561244314002	0.00828
group50	18.0	0.36220058434095553	0.36309
group51	25.0	0.19487693965975528	0.194675
group52	23.0	0.23499925231530389	0.235115
group53	20.0	0.30647514252136204	0.30647
group54	21.0	0.28102709317650326	0.280445
group55	49.0	0.012893240172079417	0.012445
group56	21.0	0.28102709317650326	0.280445
group57	7.0	0.7648433959116149	0.76503
group58	14.0	0.49196771558901947	0.492535
group59	56.0	0.005136316269398207	0.00505
group60	26.0	0.1769444473295978	0.17647
group61	27.0	0.16037591799844517	0.159535
group62	9.0	0.6836220038774937	0.682675
group63	7.0	0.7648433959116149	0.76503
group64	44.0	0.024122555091524146	0.023455
group65	4.0	0.8795844428772457	0.88062
group66	1.0	0.9719099818089563	0.972255
group67	10.0	0.6433275825860071	0.64264
group68	24.0	0.2142199819069697	0.21427
group69	14.0	0.49196771558901947	0.492535
group70	35.0	0.0690976241638293	0.068525
group71	4.0	0.8795844428772457	0.88062
group72	7.0	0.7648433959116149	0.76503
group73	8.0	0.7243643916011879	0.723885
group74	8.0	0.7243643916011879	0.723885
group75	50.0	0.011338712665191077	0.010765
group76	29.0	0.13110371501580342	0.13008
group77	17.0	0.3923616976747312	0.393645
group78	22.0	0.25723745171961626	0.25675
group79	10.0	0.6433275825860071	0.64264
group80	12.0	0.5653582533820657	0.566045
group81	21.0	0.28102709317650326	0.280445
group82	26.0	0.1769444473295978	0.17647
group83	8.0	0.7243643916011879	0.723885
group84	4.0	0.8795844428772457	0.88062
