	n	p	p_mc
group1	9.0	0.5637984007605903	0.564285
group2	5.0	0.7510605245731589	0.75113
group3	8.0	0.6089271376925609	0.60864
group4	1.0	0.9413269327800585	0.941335
group5	23.0	0.15321302217561789	0.152215
group6	21.0	0.18919628651833187	0.188015
group7	6.0	0.7029110673035962	0.70271
group8	5.0	0.7510605245731589	0.75113
group9	8.0	0.6089271376925609	0.60864
group10	30.0	0.06877637616864106	0.068755
group11	7.0	0.6555652833239324	0.654955
group12	24.0	0.13737014757494478	0.13622
group13	18.0	0.25637057800304724	0.254035
group14	5.0	0.7510605245731589	0.75113
group15	3.0	0.8481189845234005	0.84798
group16	1.0	0.9413269327800585	0.941335
group17	23.0	0.15321302217561789	0.152215
group18	21.0	0.18919628651833187	0.188015
group19	21.0	0.18919628651833187	0.188015
group20	18.0	0.25637057800304724	0.254035
group21	5.0	0.7510605245731589	0.75113
group22	45.0	0.009869899726839205	0.009225
group23	12.0	0.44215817756016235	0.44223
group24	15.0	0.34022629115553166	0.338695
group25	19.0	0.23218573383088986	0.230075
group26	1.0	0.9413269327800585	0.941335
group27	17.0	0.2823220006167115	0.27994
group28	0.0	0.9815302730563205	0.98146
group29	4.0	0.7995284463150603	0.79933
group30	3.0	0.8481189845234005	0.84798
group31	3.0	0.8481189845234005	0.84798
group32	5.0	0.7510605245731589	0.75113
group33	5.0	0.7510605245731589	0.75113
group34	2.0	0.8960813120705418	0.896145
group35	2.0	0.8960813120705418	0.896145
group36	25.0	0.12289616631355292	0.121675
group37	7.0	0.6555652833239324	0.654955
group38	1.0	0.9413269327800585	0.941335
group39	5.0	0.7510605245731589	0.75113
group40	14.0	0.37204078967426624	0.37142
group41	1.0	0.9413269327800585	0.941335
group42	9.0	0.5637984007605903	0.564285
group43	3.0	0.8481189845234005	0.84798
group44	11.0	0.48045817516495287	0.480855
group45	4.0	0.7995284463150603	0.79933
group46	13.0	0.40597363279368287	0.405615
group47	18.0	0.25637057800304724	0.254035
group48	0.0	0.9815302730563205	0.98146
group49	19.0	0.23218573383088986	0.230075
group50	25.0	0.12289616631355292	0.121675
group51	14.0	0.37204078967426624	0.37142
group52	14.0	0.37204078967426624	0.37142
group53	8.0	0.6089271376925609	0.60864
group54	17.0	0.2823220006167115	0.27994
group55	3.0	0.8481189845234005	0.84798
group56	4.0	0.7995284463150603	0.79933
group57	9.0	0.5637984007605903	0.564285
group58	36.0	0.032799700651244684	0.03267
group59	13.0	0.40597363279368287	0.405615
group60	23.0	0.15321302217561789	0.152215
group61	3.0	0.8481189845234005	0.84798
group62	23.0	0.15321302217561789	0.152215
group63	12.0	0.44215817756016235	0.44223
group64	5.0	0.7510605245731589	0.75113
group65	15.0	0.34022629115553166	0.338695
group66	3.0	0.8481189845234005	0.84798
group67	6.0	0.7029110673035962	0.70271
group68	4.0	0.7995284463150603	0.79933
group69	1.0	0.9413269327800585	0.941335
group70	4.0	0.7995284463150603	0.79933
group71	0.0	0.9815302730563205	0.98146
group72	2.0	0.8960813120705418	0.896145
group73	3.0	0.8481189845234005	0.84798
group74	3.0	0.8481189845234005	0.84798
group75	6.0	0.7029110673035962	0.70271
group76	17.0	0.2823220006167115	0.27994
group77	13.0	0.40597363279368287	0.405615
group78	3.0	0.8481189845234005	0.84798
group79	1.0	0.9413269327800585	0.941335
group80	19.0	0.23218573383088986	0.230075
group81	12.0	0.44215817756016235	0.44223
group82	10.0	0.5209568795122508	0.521505
group83	13.0	0.40597363279368287	0.405615
group84	3.0	0.8481189845234005	0.84798
group85	3.0	0.8481189845234005	0.84798
group86	6.0	0.7029110673035962	0.70271
group87	13.0	0.40597363279368287	0.405615
group88	21.0	0.18919628651833187	0.188015
group89	9.0	0.5637984007605903	0.564285
group90	4.0	0.7995284463150603	0.79933
group91	2.0	0.8960813120705418	0.896145
group92	3.0	0.8481189845234005	0.84798
group93	0.0	0.9815302730563205	0.98146
group94	2.0	0.8960813120705418	0.896145
group95	4.0	0.7995284463150603	0.79933
group96	3.0	0.8481189845234005	0.84798
group97	5.0	0.7510605245731589	0.75113
group98	11.0	0.48045817516495287	0.480855
group99	13.0	0.40597363279368287	0.405615
group100	16.0	0.31026942180837624	0.30799
group101	31.0	0.060991843164433804	0.061175
group102	8.0	0.6089271376925609	0.60864
group103	5.0	0.7510605245731589	0.75113
group104	12.0	0.44215817756016235	0.44223
group105	12.0	0.44215817756016235	0.44223
group106	8.0	0.6089271376925609	0.60864
group107	11.0	0.48045817516495287	0.480855
group108	17.0	0.2823220006167115	0.27994
group109	9.0	0.5637984007605903	0.564285
group110	7.0	0.6555652833239324	0.654955
group111	14.0	0.37204078967426624	0.37142
group112	8.0	0.6089271376925609	0.60864
group113	1.0	0.9413269327800585	0.941335
group114	4.0	0.7995284463150603	0.79933
group115	8.0	0.6089271376925609	0.60864
group116	46.0	0.008588250978341592	0.00793
group117	4.0	0.7995284463150603	0.79933
