#1:ID	#2:NameGroupA	#3:NameGroupB	#4:p.value	#5:FDR	#6:relationType	#7:PFC	#8:id.first	#9:id.second	#10:groupSize.first	#11:groupSize.second	#12:groupLinkDegree.first	#13:groupLinkDegree.second	#14:expectedLinks	#15:sharedOriglinks	#16:sharedRndlinks	#17:randMax
2	GLYCOLYSIS_/_GLUCONEOGENESIS_-_HOMO_SAPIENS_(HUMAN)	GROUP1000	0.117709	1.000000	+	0.998000	0	3	46	6	4970	215	1.860000	4	186	62
10	GLYCOLYSIS_/_GLUCONEOGENESIS_-_HOMO_SAPIENS_(HUMAN)	GROUP1016	0.412445	1.000000	+	1.000000	0	21	46	6	4970	79	0.530000	1	53	31
12	GLYCOLYSIS_/_GLUCONEOGENESIS_-_HOMO_SAPIENS_(HUMAN)	GROUP102	0.267933	1.000000	+	0.997500	0	25	46	6	4970	123	1.010000	2	101	51
15	GLYCOLYSIS_/_GLUCONEOGENESIS_-_HOMO_SAPIENS_(HUMAN)	GROUP1028	0.321193	1.000000	-	0.992500	0	34	46	7	4970	476	3.490000	2	349	54
17	GLYCOLYSIS_/_GLUCONEOGENESIS_-_HOMO_SAPIENS_(HUMAN)	GROUP1030	0.338066	1.000000	-	0.998000	0	37	46	6	4970	488	3.400000	2	340	60
20	GLYCOLYSIS_/_GLUCONEOGENESIS_-_HOMO_SAPIENS_(HUMAN)	GROUP1037	0.533098	1.000000	-	0.995600	0	44	46	5	4970	707	5.470000	5	547	86
26	GLYCOLYSIS_/_GLUCONEOGENESIS_-_HOMO_SAPIENS_(HUMAN)	GROUP1056	0.229518	1.000000	-	0.993000	0	65	46	6	4970	407	2.800000	1	280	72
27	GLYCOLYSIS_/_GLUCONEOGENESIS_-_HOMO_SAPIENS_(HUMAN)	GROUP1057	0.195700	1.000000	-	0.993000	0	66	46	5	4970	402	3.010000	1	301	48
30	GLYCOLYSIS_/_GLUCONEOGENESIS_-_HOMO_SAPIENS_(HUMAN)	GROUP1062	0.206634	1.000000	-	0.997000	0	72	46	6	4970	2369	17.890000	14	1789	103
34	GLYCOLYSIS_/_GLUCONEOGENESIS_-_HOMO_SAPIENS_(HUMAN)	GROUP1070	0.148263	1.000000	-	0.999000	0	81	46	5	4970	425	3.370000	1	337	87
35	GLYCOLYSIS_/_GLUCONEOGENESIS_-_HOMO_SAPIENS_(HUMAN)	GROUP1071	0.498233	1.000000	+	0.994000	0	82	46	6	4970	207	1.670000	2	167	57
36	GLYCOLYSIS_/_GLUCONEOGENESIS_-_HOMO_SAPIENS_(HUMAN)	GROUP1082	0.655107	1.000000	-	0.990000	0	94	46	5	4970	159	1.220000	1	122	48
39	GLYCOLYSIS_/_GLUCONEOGENESIS_-_HOMO_SAPIENS_(HUMAN)	GROUP109	0.406956	1.000000	+	0.997667	0	102	46	6	4970	327	2.310000	3	231	41
41	GLYCOLYSIS_/_GLUCONEOGENESIS_-_HOMO_SAPIENS_(HUMAN)	GROUP1098	0.197192	1.000000	-	0.999000	0	111	46	5	4970	397	3.000000	1	300	50
46	GLYCOLYSIS_/_GLUCONEOGENESIS_-_HOMO_SAPIENS_(HUMAN)	GROUP1111	0.096938	1.000000	+	0.996500	0	127	46	5	4970	214	1.730000	4	173	58
47	GLYCOLYSIS_/_GLUCONEOGENESIS_-_HOMO_SAPIENS_(HUMAN)	GROUP1118	0.018865	1.000000	+	0.992667	0	134	46	6	4970	75	0.560000	3	56	32
50	GLYCOLYSIS_/_GLUCONEOGENESIS_-_HOMO_SAPIENS_(HUMAN)	GROUP1124	0.553791	1.000000	-	0.995000	0	141	46	5	4970	186	1.510000	1	151	30
61	GLYCOLYSIS_/_GLUCONEOGENESIS_-_HOMO_SAPIENS_(HUMAN)	GROUP1148	0.463737	1.000000	-	0.997250	0	167	46	5	4970	691	4.860000	4	486	46
68	GLYCOLYSIS_/_GLUCONEOGENESIS_-_HOMO_SAPIENS_(HUMAN)	GROUP1164	0.134208	1.000000	-	0.999000	0	185	46	6	4970	511	3.500000	1	350	61
71	GLYCOLYSIS_/_GLUCONEOGENESIS_-_HOMO_SAPIENS_(HUMAN)	GROUP117	0.001695	1.000000	-	1.000000	0	191	46	6	4970	1587	12.180000	3	1218	88
74	GLYCOLYSIS_/_GLUCONEOGENESIS_-_HOMO_SAPIENS_(HUMAN)	GROUP1177	0.353357	1.000000	-	0.997400	0	199	46	6	4970	903	6.590000	5	659	65
77	GLYCOLYSIS_/_GLUCONEOGENESIS_-_HOMO_SAPIENS_(HUMAN)	GROUP1180	0.213647	1.000000	+	0.997667	0	203	46	7	4970	205	1.590000	3	159	48
84	GLYCOLYSIS_/_GLUCONEOGENESIS_-_HOMO_SAPIENS_(HUMAN)	GROUP12	0.028204	1.000000	+	0.998333	0	224	46	5	4970	278	2.280000	6	228	52
86	GLYCOLYSIS_/_GLUCONEOGENESIS_-_HOMO_SAPIENS_(HUMAN)	GROUP1200	0.289950	1.000000	+	0.993750	0	226	46	5	4970	405	2.720000	4	272	64
89	GLYCOLYSIS_/_GLUCONEOGENESIS_-_HOMO_SAPIENS_(HUMAN)	GROUP1204	0.017050	1.000000	+	0.997500	0	230	46	7	4970	674	4.530000	10	453	80
90	GLYCOLYSIS_/_GLUCONEOGENESIS_-_HOMO_SAPIENS_(HUMAN)	GROUP1207	0.066177	1.000000	+	0.997000	0	233	46	6	4970	887	6.530000	11	653	69
109	GLYCOLYSIS_/_GLUCONEOGENESIS_-_HOMO_SAPIENS_(HUMAN)	GROUP1247	0.026148	1.000000	-	0.994800	0	277	46	5	4970	1597	11.430000	5	1143	97
110	GLYCOLYSIS_/_GLUCONEOGENESIS_-_HOMO_SAPIENS_(HUMAN)	GROUP1253	0.001229	1.000000	+	0.997722	0	284	46	5	4970	1024	7.970000	18	797	114
112	GLYCOLYSIS_/_GLUCONEOGENESIS_-_HOMO_SAPIENS_(HUMAN)	GROUP1257	0.012857	1.000000	-	0.998500	0	288	46	5	4970	1159	7.980000	2	798	88
113	GLYCOLYSIS_/_GLUCONEOGENESIS_-_HOMO_SAPIENS_(HUMAN)	GROUP1260	0.473877	1.000000	-	0.997714	0	292	46	5	4970	1953	14.890000	14	1489	103
114	GLYCOLYSIS_/_GLUCONEOGENESIS_-_HOMO_SAPIENS_(HUMAN)	GROUP1261	0.093031	1.000000	+	0.997333	0	293	46	5	4970	1085	7.780000	12	778	62
120	GLYCOLYSIS_/_GLUCONEOGENESIS_-_HOMO_SAPIENS_(HUMAN)	GROUP1272	0.162637	1.000000	+	0.996500	0	305	46	7	4970	292	2.110000	4	211	68
127	GLYCOLYSIS_/_GLUCONEOGENESIS_-_HOMO_SAPIENS_(HUMAN)	GROUP1293	0.176106	1.000000	-	0.998000	0	328	46	5	4970	1613	12.740000	9	1274	105
129	GLYCOLYSIS_/_GLUCONEOGENESIS_-_HOMO_SAPIENS_(HUMAN)	GROUP1295	0.304664	1.000000	-	0.999000	0	330	46	5	4970	306	2.410000	1	241	67
131	GLYCOLYSIS_/_GLUCONEOGENESIS_-_HOMO_SAPIENS_(HUMAN)	GROUP1302	0.127027	1.000000	-	0.999000	0	339	46	5	4970	626	4.940000	2	494	74
