	n	p
group1	0.0	0.8943638280155705
group2	0.0	0.8943638280155705
group3	0.0	0.8943638280155705
group4	0.0	0.8943638280155705
group5	1.0	0.7017143350441536
group6	4.0	0.32952710682940456
group7	0.0	0.8943638280155705
group8	0.0	0.8943638280155705
group9	0.0	0.8943638280155705
group10	0.0	0.8943638280155705
group11	2.0	0.5471227395928945
group12	2.0	0.5471227395928945
group13	0.0	0.8943638280155705
group14	5.0	0.25575597807662104
group15	0.0	0.8943638280155705
group16	1.0	0.7017143350441536
group17	0.0	0.8943638280155705
group18	9.0	0.10537374861796406
group19	0.0	0.8943638280155705
group20	0.0	0.8943638280155705
group21	0.0	0.8943638280155705
group22	0.0	0.8943638280155705
group23	0.0	0.8943638280155705
group24	4.0	0.32952710682940456
group25	0.0	0.8943638280155705
group26	0.0	0.8943638280155705
group27	0.0	0.8943638280155705
group28	0.0	0.8943638280155705
group29	1.0	0.7017143350441536
group30	0.0	0.8943638280155705
group31	1.0	0.7017143350441536
group32	0.0	0.8943638280155705
group33	0.0	0.8943638280155705
group34	0.0	0.8943638280155705
group35	1.0	0.7017143350441536
group36	4.0	0.32952710682940456
group37	0.0	0.8943638280155705
group38	0.0	0.8943638280155705
group39	0.0	0.8943638280155705
group40	0.0	0.8943638280155705
group41	1.0	0.7017143350441536
group42	0.0	0.8943638280155705
group43	0.0	0.8943638280155705
group44	1.0	0.7017143350441536
group45	0.0	0.8943638280155705
group46	0.0	0.8943638280155705
group47	1.0	0.7017143350441536
group48	0.0	0.8943638280155705
group49	0.0	0.8943638280155705
group50	0.0	0.8943638280155705
group51	0.0	0.8943638280155705
group52	1.0	0.7017143350441536
group53	0.0	0.8943638280155705
group54	0.0	0.8943638280155705
group55	0.0	0.8943638280155705
group56	0.0	0.8943638280155705
group57	1.0	0.7017143350441536
group58	0.0	0.8943638280155705
group59	0.0	0.8943638280155705
group60	0.0	0.8943638280155705
group61	0.0	0.8943638280155705
group62	0.0	0.8943638280155705
group63	1.0	0.7017143350441536
group64	0.0	0.8943638280155705
group65	0.0	0.8943638280155705
group66	0.0	0.8943638280155705
group67	4.0	0.32952710682940456
group68	0.0	0.8943638280155705
group69	0.0	0.8943638280155705
group70	2.0	0.5471227395928945
group71	0.0	0.8943638280155705
group72	1.0	0.7017143350441536
group73	0.0	0.8943638280155705
group74	0.0	0.8943638280155705
group75	0.0	0.8943638280155705
group76	0.0	0.8943638280155705
group77	0.0	0.8943638280155705
group78	0.0	0.8943638280155705
group79	0.0	0.8943638280155705
group80	0.0	0.8943638280155705
group81	1.0	0.7017143350441536
group82	0.0	0.8943638280155705
group83	3.0	0.4258671820139901
group84	0.0	0.8943638280155705
group85	0.0	0.8943638280155705
group86	0.0	0.8943638280155705
group87	0.0	0.8943638280155705
group88	0.0	0.8943638280155705
group89	0.0	0.8943638280155705
group90	4.0	0.32952710682940456
group91	0.0	0.8943638280155705
group92	1.0	0.7017143350441536
group93	0.0	0.8943638280155705
group94	0.0	0.8943638280155705
group95	0.0	0.8943638280155705
group96	0.0	0.8943638280155705
group97	2.0	0.5471227395928945
group98	0.0	0.8943638280155705
group99	0.0	0.8943638280155705
