	n	p
group1	0.0	0.9996270510218255
group2	0.0	0.9996270510218255
group3	0.0	0.9996270510218255
group4	0.0	0.9996270510218255
group5	1.0	0.9977045253033445
group6	4.0	0.9636385976372321
group7	0.0	0.9996270510218255
group8	0.0	0.9996270510218255
group9	0.0	0.9996270510218255
group10	0.0	0.9996270510218255
group11	2.0	0.9923878157469086
group12	2.0	0.9923878157469086
group13	0.0	0.9996270510218255
group14	5.0	0.9376373728504575
group15	0.0	0.9996270510218255
group16	1.0	0.9977045253033445
group17	0.0	0.9996270510218255
group18	9.0	0.7672173131135352
group19	0.0	0.9996270510218255
group20	0.0	0.9996270510218255
group21	0.0	0.9996270510218255
group22	0.0	0.9996270510218255
group23	0.0	0.9996270510218255
group24	4.0	0.9636385976372321
group25	0.0	0.9996270510218255
group26	0.0	0.9996270510218255
group27	0.0	0.9996270510218255
group28	0.0	0.9996270510218255
group29	1.0	0.9977045253033445
group30	0.0	0.9996270510218255
group31	1.0	0.9977045253033445
group32	0.0	0.9996270510218255
group33	0.0	0.9996270510218255
group34	0.0	0.9996270510218255
group35	1.0	0.9977045253033445
group36	4.0	0.9636385976372321
group37	0.0	0.9996270510218255
group38	0.0	0.9996270510218255
group39	0.0	0.9996270510218255
group40	0.0	0.9996270510218255
group41	1.0	0.9977045253033445
group42	0.0	0.9996270510218255
group43	0.0	0.9996270510218255
group44	1.0	0.9977045253033445
group45	0.0	0.9996270510218255
group46	0.0	0.9996270510218255
group47	1.0	0.9977045253033445
group48	0.0	0.9996270510218255
group49	0.0	0.9996270510218255
group50	0.0	0.9996270510218255
group51	0.0	0.9996270510218255
group52	1.0	0.9977045253033445
group53	0.0	0.9996270510218255
group54	0.0	0.9996270510218255
group55	0.0	0.9996270510218255
group56	0.0	0.9996270510218255
group57	1.0	0.9977045253033445
group58	0.0	0.9996270510218255
group59	0.0	0.9996270510218255
group60	0.0	0.9996270510218255
group61	0.0	0.9996270510218255
group62	0.0	0.9996270510218255
group63	1.0	0.9977045253033445
group64	0.0	0.9996270510218255
group65	0.0	0.9996270510218255
group66	0.0	0.9996270510218255
group67	4.0	0.9636385976372321
group68	0.0	0.9996270510218255
group69	0.0	0.9996270510218255
group70	2.0	0.9923878157469086
group71	0.0	0.9996270510218255
group72	1.0	0.9977045253033445
group73	0.0	0.9996270510218255
group74	0.0	0.9996270510218255
group75	0.0	0.9996270510218255
group76	0.0	0.9996270510218255
group77	0.0	0.9996270510218255
group78	0.0	0.9996270510218255
group79	0.0	0.9996270510218255
group80	0.0	0.9996270510218255
group81	1.0	0.9977045253033445
group82	0.0	0.9996270510218255
group83	3.0	0.9816039147469156
group84	0.0	0.9996270510218255
group85	0.0	0.9996270510218255
group86	0.0	0.9996270510218255
group87	0.0	0.9996270510218255
group88	0.0	0.9996270510218255
group89	0.0	0.9996270510218255
group90	4.0	0.9636385976372321
group91	0.0	0.9996270510218255
group92	1.0	0.9977045253033445
group93	0.0	0.9996270510218255
group94	0.0	0.9996270510218255
group95	0.0	0.9996270510218255
group96	0.0	0.9996270510218255
group97	2.0	0.9923878157469086
group98	0.0	0.9996270510218255
group99	0.0	0.9996270510218255
group100	0.0	0.9996270510218255
group101	0.0	0.9996270510218255
group102	1.0	0.9977045253033445
group103	0.0	0.9996270510218255
group104	1.0	0.9977045253033445
group105	0.0	0.9996270510218255
group106	1.0	0.9977045253033445
group107	0.0	0.9996270510218255
group108	0.0	0.9996270510218255
group109	3.0	0.9816039147469156
group110	0.0	0.9996270510218255
group111	0.0	0.9996270510218255
group112	2.0	0.9923878157469086
group113	0.0	0.9996270510218255
group114	0.0	0.9996270510218255
group115	0.0	0.9996270510218255
group116	3.0	0.9816039147469156
group117	1.0	0.9977045253033445
group118	1.0	0.9977045253033445
group119	0.0	0.9996270510218255
group120	2.0	0.9923878157469086
group121	0.0	0.9996270510218255
group122	0.0	0.9996270510218255
group123	0.0	0.9996270510218255
group124	1.0	0.9977045253033445
group125	0.0	0.9996270510218255
group126	0.0	0.9996270510218255
group127	0.0	0.9996270510218255
group128	0.0	0.9996270510218255
group129	0.0	0.9996270510218255
group130	0.0	0.9996270510218255
group131	0.0	0.9996270510218255
group132	0.0	0.9996270510218255
group133	0.0	0.9996270510218255
group134	0.0	0.9996270510218255
